Fundamentals of Wavelets,Goswami, Jaideva,signal_processing,228,Wiley, what
Data Smart,Foreman, John,data_science,235,Wiley, what
God Created the Integers,Hawking, Stephen,mathematics,197,Penguin, what
Superfreakonomics,Dubner, Stephen,economics,179,HarperCollins, what
Orientalism,Said, Edward,history,197,Penguin, what
Nature of Statistical Learning Theory, The,Vapnik, Vladimir,data_science,230,Springer, what
Integration of the Indian States,Menon, V P,history,217,Orient Blackswan, what
Drunkard's Walk, The,Mlodinow, Leonard,science,197,Penguin, what
